"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Annual mean mcg/m3","Summer mean mcg/m3","Winter mean mcg/m3"
"2024","UHF 34","101","3","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","6.3","8.2","6.2"
"2024","UHF 34","206","3","2","Brooklyn","Borough Park","Borough Park  Brooklyn","6.3","8.0","6.2"
"2024","UHF 34","501502","3","5","Staten Island","Northern SI","Northern SI  Staten Island","6.2","7.7","6.2"
"2024","UHF 34","103","3","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","6.4","8.3","6.1"
"2024","UHF 34","204","3","2","Brooklyn","East New York","East New York  Brooklyn","6.3","7.9","6.1"
"2024","UHF 34","207","3","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","6.2","7.9","6.1"
"2024","UHF 34","209","3","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","6.2","7.9","6.1"
"2024","UHF 34","405","3","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","6.2","7.8","6.1"
"2024","UHF 34","104","3","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","6.3","8.1","5.8"
"2024","UHF 34","208","3","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","5.8","7.4","5.8"
"2024","UHF 34","210","3","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","5.9","7.5","5.8"
"2024","UHF 34","102","3","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","6.1","8.1","5.7"
"2024","UHF 34","503504","3","5","Staten Island","Southern SI","Southern SI  Staten Island","5.9","7.1","5.7"
"2024","UHF 34","403","3","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","6.0","7.6","5.6"
"2024","UHF 34","407","3","4","Queens","Southwest Queens","Southwest Queens  Queens","5.8","7.3","5.6"
"2024","UHF 34","408","3","4","Queens","Jamaica","Jamaica  Queens","5.8","7.3","5.4"
"2024","UHF 34","410","3","4","Queens","Rockaways","Rockaways  Queens","5.3","6.7","5.1"
"2024","UHF 34","404406","3","4","Queens","Bayside Little Neck-Fresh Meadows","Bayside Little Neck-Fresh Meadows  Queens","5.5","7.1","5.1"
"2024","UHF 34","409","3","4","Queens","Southeast Queens","Southeast Queens  Queens","5.4","6.9","5.0"
"2024","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","9.5","11.6","8.4"
"2024","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","8.9","11.0","8.0"
"2024","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","8.9","10.9","7.9"
"2024","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","8.4","10.5","7.7"
"2024","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","8.0","9.9","7.5"
"2024","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","7.4","9.1","7.1"
"2024","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","7.2","9.0","7.0"
"2024","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","7.3","9.0","7.0"
"2024","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","7.1","8.8","6.9"
"2024","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","7.2","8.9","6.9"
"2024","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","6.8","8.4","6.8"
"2024","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","7.0","8.7","6.8"
"2024","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","6.8","8.5","6.7"
"2024","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","6.9","8.5","6.6"
"2024","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","6.7","8.3","6.6"
"2024","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","6.7","8.4","6.5"
"2024","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","6.8","8.4","6.5"
"2024","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","6.6","8.2","6.4"
"2024","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","6.6","8.2","6.4"
"2024","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","6.4","7.9","6.4"
"2024","UHF 42","105","4","1","Bronx","Crotona - Tremont","Crotona - Tremont  Bronx","6.6","8.4","6.3"
"2024","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","6.3","8.2","6.2"
"2024","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","6.3","8.0","6.2"
"2024","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","6.4","8.3","6.1"
"2024","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","6.3","7.9","6.1"
"2024","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","6.2","7.9","6.1"
"2024","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","6.2","7.9","6.1"
"2024","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","6.2","7.8","6.1"
"2024","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","6.1","7.6","6.1"
"2024","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","6.0","7.4","6.0"
"2024","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","6.3","8.1","5.8"
"2024","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","5.8","7.4","5.8"
"2024","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","5.9","7.5","5.8"
"2024","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","6.1","8.1","5.7"
"2024","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","6.0","7.6","5.6"
"2024","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","5.8","7.3","5.6"
"2024","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","5.8","7.0","5.6"
"2024","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","5.8","7.3","5.4"
"2024","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","5.6","7.1","5.3"
"2024","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","5.3","6.7","5.1"
"2024","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","5.5","7.1","5.0"
"2024","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","5.4","6.9","5.0"
"2023","UHF 34","306308","3","3","Manhattan","Chelsea-Village","Chelsea-Village    Manhattan","8.0","9.7","8.3"
"2023","UHF 34","309310","3","3","Manhattan","Union Square-Lower Manhattan","Union Square-Lower Manhattan  Manhattan","7.4","9.2","7.5"
"2023","UHF 34","305307","3","3","Manhattan","Upper East Side-Gramercy","Upper East Side-Gramercy  Manhattan","7.3","9.3","7.3"
"2023","UHF 34","201","3","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","7.4","9.5","7.0"
"2023","UHF 34","211","3","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","7.2","9.3","6.9"
"2023","UHF 34","401","3","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","7.3","9.4","6.9"
"2023","UHF 34","202","3","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","7.2","9.2","6.8"
"2023","UHF 34","301","3","3","Manhattan","Washington Heights","Washington Heights  Manhattan","7.0","9.3","6.7"
"2023","UHF 34","402","3","4","Queens","West Queens","West Queens  Queens","7.1","9.2","6.7"
"2023","UHF 34","105106107","3","1","Bronx","South Bronx","South Bronx  Bronx","7.0","9.4","6.7"
"2023","UHF 34","101","3","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","6.8","9.3","6.6"
"2023","UHF 34","103","3","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","6.8","9.2","6.6"
"2023","UHF 34","205","3","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","7.1","9.1","6.6"
"2023","UHF 34","302","3","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","6.9","9.2","6.6"
"2023","UHF 34","102","3","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","6.8","9.2","6.5"
"2023","UHF 34","104","3","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","6.9","9.2","6.5"
"2023","UHF 34","303","3","3","Manhattan","East Harlem","East Harlem  Manhattan","6.9","9.2","6.5"
"2023","UHF 34","203","3","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","6.8","8.9","6.4"
"2023","UHF 34","304","3","3","Manhattan","Upper West Side","Upper West Side  Manhattan","6.9","9.2","6.4"
"2023","UHF 34","204","3","2","Brooklyn","East New York","East New York  Brooklyn","6.8","8.9","6.3"
"2023","UHF 34","405","3","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","6.7","8.9","6.3"
"2023","UHF 34","403","3","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","6.7","8.9","6.2"
"2023","UHF 34","206","3","2","Brooklyn","Borough Park","Borough Park  Brooklyn","6.6","8.6","6.1"
"2023","UHF 34","207","3","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","6.6","8.6","6.1"
"2023","UHF 34","209","3","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","6.5","8.5","6.0"
"2023","UHF 34","407","3","4","Queens","Southwest Queens","Southwest Queens  Queens","6.5","8.6","6.0"
"2023","UHF 34","408","3","4","Queens","Jamaica","Jamaica  Queens","6.6","8.7","5.9"
"2023","UHF 34","404406","3","4","Queens","Bayside Little Neck-Fresh Meadows","Bayside Little Neck-Fresh Meadows  Queens","6.5","8.7","5.9"
"2023","UHF 34","208","3","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","6.4","8.5","5.8"
"2023","UHF 34","210","3","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","6.4","8.3","5.8"
"2023","UHF 34","501502","3","5","Staten Island","Northern SI","Northern SI  Staten Island","6.4","8.5","5.7"
"2023","UHF 34","409","3","4","Queens","Southeast Queens","Southeast Queens  Queens","6.4","8.6","5.6"
"2023","UHF 34","503504","3","5","Staten Island","Southern SI","Southern SI  Staten Island","6.2","8.3","5.4"
"2023","UHF 34","410","3","4","Queens","Rockaways","Rockaways  Queens","6.1","8.2","5.3"
"2023","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","8.1","9.7","8.4"
"2023","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","7.9","9.6","8.1"
"2023","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","7.8","9.5","7.9"
"2023","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","7.5","9.2","7.6"
"2023","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","7.3","9.2","7.3"
"2023","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","7.4","9.5","7.0"
"2023","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","7.2","9.3","6.9"
"2023","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","7.3","9.4","6.9"
"2023","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","7.2","9.2","6.8"
"2023","UHF 42","105","4","1","Bronx","Crotona - Tremont","Crotona - Tremont  Bronx","7.0","9.4","6.7"
"2023","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","7.2","9.5","6.7"
"2023","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","7.0","9.3","6.7"
"2023","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","7.0","9.2","6.7"
"2023","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","7.1","9.2","6.7"
"2023","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","6.8","9.3","6.6"
"2023","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","6.8","9.2","6.6"
"2023","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","7.1","9.1","6.6"
"2023","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","6.9","9.2","6.6"
"2023","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","6.8","9.2","6.5"
"2023","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","6.9","9.2","6.5"
"2023","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","6.9","9.3","6.5"
"2023","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","6.9","9.2","6.5"
"2023","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","6.8","8.9","6.4"
"2023","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","6.9","9.2","6.4"
"2023","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","6.8","8.9","6.3"
"2023","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","6.7","8.9","6.3"
"2023","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","6.7","8.9","6.2"
"2023","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","6.6","8.6","6.1"
"2023","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","6.6","8.6","6.1"
"2023","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","6.5","8.5","6.0"
"2023","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","6.5","8.6","6.0"
"2023","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","6.5","8.7","5.9"
"2023","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","6.5","8.7","5.9"
"2023","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","6.6","8.7","5.9"
"2023","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","6.5","8.7","5.9"
"2023","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","6.4","8.5","5.8"
"2023","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","6.4","8.3","5.8"
"2023","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","6.3","8.4","5.7"
"2023","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","6.4","8.6","5.6"
"2023","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","6.3","8.5","5.6"
"2023","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","6.1","8.2","5.3"
"2023","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","6.1","8.2","5.3"
"2022","UHF 34","306308","3","3","Manhattan","Chelsea-Village","Chelsea-Village    Manhattan","8.3","8.2","9.2"
"2022","UHF 34","309310","3","3","Manhattan","Union Square-Lower Manhattan","Union Square-Lower Manhattan  Manhattan","7.3","7.5","8.3"
"2022","UHF 34","305307","3","3","Manhattan","Upper East Side-Gramercy","Upper East Side-Gramercy  Manhattan","7.1","7.5","7.9"
"2022","UHF 34","103","3","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","6.1","7.1","7.4"
"2022","UHF 34","201","3","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","6.5","7.2","7.4"
"2022","UHF 34","202","3","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","6.4","6.9","7.4"
"2022","UHF 34","211","3","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","6.4","7.0","7.4"
"2022","UHF 34","102","3","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","6.0","7.1","7.3"
"2022","UHF 34","205","3","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","6.2","6.7","7.3"
"2022","UHF 34","301","3","3","Manhattan","Washington Heights","Washington Heights  Manhattan","6.3","7.2","7.3"
"2022","UHF 34","401","3","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","6.4","7.2","7.3"
"2022","UHF 34","101","3","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","6.0","7.1","7.2"
"2022","UHF 34","104","3","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","6.1","7.0","7.2"
"2022","UHF 34","105106107","3","1","Bronx","South Bronx","South Bronx  Bronx","6.2","7.2","7.2"
"2022","UHF 34","302","3","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","6.2","7.1","7.1"
"2022","UHF 34","402","3","4","Queens","West Queens","West Queens  Queens","6.2","6.9","7.1"
"2022","UHF 34","303","3","3","Manhattan","East Harlem","East Harlem  Manhattan","6.1","7.0","7.0"
"2022","UHF 34","203","3","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","5.9","6.5","6.9"
"2022","UHF 34","403","3","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","5.9","6.6","6.9"
"2022","UHF 34","206","3","2","Brooklyn","Borough Park","Borough Park  Brooklyn","5.7","6.2","6.8"
"2022","UHF 34","304","3","3","Manhattan","Upper West Side","Upper West Side  Manhattan","6.1","7.0","6.8"
"2022","UHF 34","204","3","2","Brooklyn","East New York","East New York  Brooklyn","5.7","6.4","6.7"
"2022","UHF 34","207","3","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","5.6","6.2","6.7"
"2022","UHF 34","209","3","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","5.6","6.0","6.7"
"2022","UHF 34","405","3","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","5.8","6.5","6.7"
"2022","UHF 34","210","3","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","5.4","5.8","6.6"
"2022","UHF 34","408","3","4","Queens","Jamaica","Jamaica  Queens","5.6","6.3","6.6"
"2022","UHF 34","404406","3","4","Queens","Bayside Little Neck-Fresh Meadows","Bayside Little Neck-Fresh Meadows  Queens","5.6","6.3","6.6"
"2022","UHF 34","407","3","4","Queens","Southwest Queens","Southwest Queens  Queens","5.5","6.2","6.5"
"2022","UHF 34","208","3","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","5.4","5.9","6.4"
"2022","UHF 34","409","3","4","Queens","Southeast Queens","Southeast Queens  Queens","5.4","6.1","6.4"
"2022","UHF 34","501502","3","5","Staten Island","Northern SI","Northern SI  Staten Island","5.4","6.0","6.4"
"2022","UHF 34","410","3","4","Queens","Rockaways","Rockaways  Queens","5.0","5.5","6.0"
"2022","UHF 34","503504","3","5","Staten Island","Southern SI","Southern SI  Staten Island","5.1","5.7","5.9"
"2022","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","8.4","8.3","9.3"
"2022","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","8.0","8.0","9.0"
"2022","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","7.9","8.0","8.8"
"2022","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","7.5","7.6","8.4"
"2022","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","7.1","7.4","8.1"
"2022","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","6.1","7.1","7.4"
"2022","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","6.5","7.2","7.4"
"2022","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","6.4","6.9","7.4"
"2022","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","6.4","7.0","7.4"
"2022","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","6.0","7.1","7.3"
"2022","UHF 42","105","4","1","Bronx","Crotona - Tremont","Crotona - Tremont  Bronx","6.2","7.2","7.3"
"2022","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","6.2","7.2","7.3"
"2022","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","6.2","6.7","7.3"
"2022","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","6.3","7.2","7.3"
"2022","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","6.4","7.2","7.3"
"2022","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","6.0","7.1","7.2"
"2022","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","6.1","7.0","7.2"
"2022","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","6.1","7.1","7.1"
"2022","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","6.2","7.1","7.1"
"2022","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","6.4","7.1","7.1"
"2022","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","6.2","6.9","7.1"
"2022","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","6.1","7.0","7.0"
"2022","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","5.9","6.5","6.9"
"2022","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","5.9","6.6","6.9"
"2022","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","5.7","6.2","6.8"
"2022","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","6.1","7.0","6.8"
"2022","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","5.7","6.4","6.7"
"2022","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","5.6","6.2","6.7"
"2022","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","5.6","6.0","6.7"
"2022","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","5.6","6.4","6.7"
"2022","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","5.8","6.5","6.7"
"2022","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","5.4","5.8","6.6"
"2022","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","5.6","6.3","6.6"
"2022","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","5.5","6.3","6.5"
"2022","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","5.5","6.2","6.5"
"2022","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","5.5","6.2","6.5"
"2022","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","5.4","5.9","6.4"
"2022","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","5.4","6.1","6.4"
"2022","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","5.3","5.9","6.4"
"2022","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","5.2","5.9","6.1"
